AphiaID	ScientificName	DrID	Source	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
136342	Akanthophoreus longiremis	749123	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Arthropoda	Malacostraca	Tanaidacea	Akanthophoreidae	Akanthophoreus		longiremis	
136342	Akanthophoreus longiremis	749477	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Arthropoda	Malacostraca	Tanaidacea	Akanthophoreidae	Akanthophoreus		longiremis	
468026	Alcyonidioides mytili	769757	"Pr̩fontaine, G. & P. Brunel. (1962). Liste d'invert̩br̩s marins recueillis dans l'estuaire du Saint-Laurent de 1929 �� 1934. Naturaliste Canadien, Quebec 89(8-9):237-263, fig. 1."	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Alcyonidiidae	Alcyonidioides		mytili	
111596	Alcyonidium cellarioides	774426	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Alcyonidiidae	Alcyonidium		cellarioides	
111600	Alcyonidium gelatinosum	774427	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Alcyonidiidae	Alcyonidium		gelatinosum	
109712	Alexandrium ostenfeldii	814137	"Molnar, J. L.; Gamboa, R. L.; Revenga, C.; Spalding, M. D. (2008). Assessing the global threat of invasive species to marine biodiversity. <em>Frontiers in Ecology and the Environment.</em> 6(9): 485-492."	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Alexandrium		ostenfeldii	
234850	Alitta succinea	749378	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Alitta		succinea	
234850	Alitta succinea	749024	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Alitta		succinea	
234851	Alitta virens	769718	"Pr̩fontaine, G. & P. Brunel. (1962). Liste d'invert̩br̩s marins recueillis dans l'estuaire du Saint-Laurent de 1929 �� 1934. Naturaliste Canadien, Quebec 89(8-9):237-263, fig. 1."	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Alitta		virens	
234851	Alitta virens	775104	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Alitta		virens	
158669	Alosa pseudoharengus	775023	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa		pseudoharengus	
158669	Alosa pseudoharengus	659404	"Noz̬res C., Archambault D., Chouinard P.-M., Gauthier J., Miller R., Parent E., Schwab P., Savard L., and Dutil J.-D. 2010. Identification guide for marine fishes of the estuary and northern Gulf of St. Lawrence and sampling protocols used during trawl surveys between 2004 and 2008. Can. Tech. Rep. Fish. Aquat. Sci. 2866: xi + 243 p"	Animalia	Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa		pseudoharengus	
158670	Alosa sapidissima	659405	"Noz̬res C., Archambault D., Chouinard P.-M., Gauthier J., Miller R., Parent E., Schwab P., Savard L., and Dutil J.-D. 2010. Identification guide for marine fishes of the estuary and northern Gulf of St. Lawrence and sampling protocols used during trawl surveys between 2004 and 2008. Can. Tech. Rep. Fish. Aquat. Sci. 2866: xi + 243 p"	Animalia	Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa		sapidissima	
141216	Alvania moerchi	774836	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Alvania		moerchi	
140521	Amauropsis islandica	774821	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Mollusca	Gastropoda	Littorinimorpha	Naticidae	Amauropsis		islandica	
105865	Amblyraja radiata	659406	"Noz̬res C., Archambault D., Chouinard P.-M., Gauthier J., Miller R., Parent E., Schwab P., Savard L., and Dutil J.-D. 2010. Identification guide for marine fishes of the estuary and northern Gulf of St. Lawrence and sampling protocols used during trawl surveys between 2004 and 2008. Can. Tech. Rep. Fish. Aquat. Sci. 2866: xi + 243 p"	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Amblyraja		radiata	
105865	Amblyraja radiata	774369	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Amblyraja		radiata	
547000	Ameroculodes edwardsi	775165	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Arthropoda	Malacostraca	Amphipoda	Oedicerotidae	Ameroculodes		edwardsi	
159928	Amicula vestita	775069	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Mollusca	Polyplacophora	Chitonida	Mopaliidae	Amicula		vestita	
159587	Ammodytes americanus	775057	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Chordata	Actinopteri	Perciformes	Ammodytidae	Ammodytes		americanus	
